Frame,Class,F1,F2
406,sit up straight,-1.1321368130173113,1.199973959403063
407,sit up straight,-0.2043674168566616,1.211034300579794
408,sit up straight,-0.3288417826600534,1.2152604094337722
409,sit up straight,-0.3002647183296809,1.2394942384127672
410,sit up straight,-0.2579701028850861,1.2687858909952419
411,sit up straight,-0.09367723652666245,1.2698888450089507
412,sit up straight,0.12303985486664205,1.2822567298389471
413,sit up straight,0.23462201282173317,1.2736825167523385
414,sit up straight,0.292738311407481,1.28444752651799
415,sit up straight,0.3526290278838757,1.279241374826645
416,sit up straight,0.5135940195397851,1.2954100994931192
417,sit up straight,0.5779144407539448,1.2893395027484458
418,sit up straight,0.59256696796806,1.2929476929017176
419,sit up straight,0.7295490090883683,1.2975603482749047
420,sit up straight,0.7835787200727714,1.2957557770072001
421,sit up straight,0.8815015790345027,1.2905925958268802
422,sit up straight,0.9166993728708059,1.286492554805249
423,sit up straight,0.9164937190043416,1.2840619464694436
424,sit up straight,0.8884657341433146,1.2776545711048364
425,sit up straight,0.8660209682564656,1.278801859706554
426,sit up straight,0.8265005574774072,1.2751868806802036
427,sit up straight,0.8383066520965824,1.2771642087245454
428,sit up straight,0.8155008917553104,1.2713218853348336
429,sit up straight,0.768418321648482,1.2740258854604058
430,sit up straight,0.7806926901622491,1.2749276639735942
431,sit up straight,0.785607904664359,1.2740823800135248
432,sit up straight,0.8028487305041035,1.2720209381499166
433,sit up straight,0.7965056411357956,1.2686066399357367
434,sit up straight,0.7530353308440462,1.2680357885771836
435,sit up straight,0.7662306821537748,1.2693553237081565
436,sit up straight,0.6981952323918632,1.2622238295131802
437,sit up straight,0.6510736835288269,1.2642701450080789
438,sit up straight,0.6260378554694039,1.2654831571507505
439,sit up straight,0.6150918802861723,1.2665777546690737
440,sit up straight,0.6043980391575081,1.2641974301833474
441,sit up straight,0.5986621834109509,1.2684720399864118
442,sit up straight,0.6036300017946378,1.267975258148043
443,sit up straight,0.577192720686907,1.269765323783596
444,sit up straight,0.57609411384928,1.2698751844673586
445,sit up straight,0.5454055805405853,1.271998032737534
446,sit up straight,0.5433448051292159,1.2721417366666843
447,sit up straight,0.5757556917593758,1.2720621760266544
448,sit up straight,0.5476451107511178,1.2737513630280517
449,sit up straight,0.5476451107511178,1.2737513630280517
450,sit up straight,0.5103450185336035,1.2781333081724358
451,sit up straight,0.5339664346244383,1.2755871906831135
452,sit up straight,0.5458842684092127,1.2799131535003634
453,sit up straight,0.5527108266370164,1.278035851201332
454,sit up straight,0.556639799513662,1.274123912281267
455,sit up straight,0.5378716024767798,1.2720203207384029
456,sit up straight,0.5404162384489755,1.271460027911747
457,sit up straight,0.5314441260568482,1.2665257564974552
458,sit up straight,0.5106632218889904,1.2611796225308347
459,sit up straight,0.5289203044938904,1.2629037641784897
460,sit up straight,0.4600770685935178,1.257640687146707
461,sit up straight,0.4930948536257757,1.2594431264613681
462,sit up straight,0.5126242627769884,1.2550069098683623
463,sit up straight,0.5122794937509377,1.2573289005581982
464,sit up straight,0.49732290183764977,1.2565370459622962
465,sit up straight,0.5110964877292002,1.2565476518800438
466,sit up straight,0.5327021907427919,1.2556415823819644
467,sit up straight,0.542806955237096,1.2572733584672988
468,sit up straight,0.5411446015458206,1.2571071230981712
469,sit up straight,0.5402066045060864,1.256002589033433
470,sit up straight,0.5414203069059315,1.2558261483754583
471,sit up straight,0.5405393570961583,1.254676192184906
472,sit up straight,0.5625929375443396,1.2499717855212449
473,sit up straight,0.570169736104049,1.2507294653772159
474,sit up straight,0.596331121949804,1.24957767126286
475,sit up straight,0.6091587300536402,1.2510948480765045
476,sit up straight,0.6152703667577224,1.2500807218280905
477,sit up straight,0.6338984361025174,1.2468249641789122
478,sit up straight,0.6338984361025174,1.2468249641789122
479,sit up straight,0.6645940089656739,1.2467794319071492
480,sit up straight,0.764865949328707,1.228203489588891
481,sit up straight,0.860556383475979,1.232951856608026
482,sit up straight,0.8918672891193219,1.2338269298691182
483,sit up straight,0.9416282748180896,1.232919686101023
484,sit up straight,0.9349324645858846,1.2355984575076413
485,sit up straight,0.9690091185160736,1.2305789766749065
486,sit up straight,0.9788811621153019,1.2281798863142654
487,sit up straight,0.9857298490657774,1.2288647550093128
488,sit up straight,0.9889818537277982,1.227542753332879
489,sit up straight,1.0019330528909014,1.224512931922706
490,sit up straight,0.9856020864101588,1.2282080785570682
491,sit up straight,0.9904667020631747,1.2250380948610717
